rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1551447882789452429,,3877,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447882899630969,,3878,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447883003110873,,3879,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447883106643044,,3880,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447883206104750,,3881,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447883328866107,,3882,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447883440547624,,3883,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447883592231375,,3884,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447883700748943,,3885,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447883802529206,,3886,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447883899299619,,3887,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447884002406732,,3888,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447884090478125,,3889,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447884205571778,,3890,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447884305336401,,3891,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447884399377826,,3892,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447884490868602,,3893,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447884607349869,,3894,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447884705418600,,3895,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447884803490443,,3896,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447884892860256,,3897,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447885002607594,,3898,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447885102293230,,3899,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447885200252951,,3900,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447885291838252,,3901,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447885389611614,,3902,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447885506321625,,3903,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447885605964659,,3904,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447885701909911,,3905,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447885799169279,,3906,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447885881288783,,3907,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447885982060938,,3908,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447886081618364,,3909,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447886183325274,,3910,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447886280412250,,3911,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447886380519533,,3912,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447886475175216,,3913,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447886566167043,,3914,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447886665173715,,3915,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447886777458553,,3916,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447886881612399,,3917,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447886983380216,,3918,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447887089434170,,3919,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447887200038354,,3920,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447887307161391,,3921,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447887406637760,,3922,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447887503756948,,3923,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447887590531043,,3924,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447887703992663,,3925,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447887806553641,,3926,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
1551447887916068544,,3927,,0,0,'',,0,0,22.321036759,87.311225209,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
