rosbagTimestamp,x,y
1406317000000,0,-0.0033085026
1406327000000,0,-0.0033094679
1406337000000,0,-0.0033098046
1406347000000,0,-0.0033087252
1406357000000,0,-0.0033076845
1406367000000,0,-0.0033084025
1406377000000,0,-0.0033094648
1406387000000,0,-0.0033088167
1406397000000,0,-0.0033074044
1406407000000,0,-0.0033072526
1406417000000,0,-0.0033086767
1406427000000,0,-0.003308841
1406437000000,0,-0.0033074369
1406447000000,0,-0.0033063908
1406457000000,0,-0.0033074546
1406467000000,0,-0.003308223
1406477000000,0,-0.0033076868
1406487000000,0,-0.0033063143
1406497000000,0,-0.0033060835
1406507000000,0,-0.0033074112
1406517000000,0,-0.0033077149
1406527000000,0,-0.0033063668
1406537000000,0,-0.0033053078
1406547000000,0,-0.0033062019
1406557000000,0,-0.0033074098
1406567000000,0,-0.003306567
1406577000000,0,-0.0033049709
1406587000000,0,-0.0033049329
1406597000000,0,-0.0033065652
1406607000000,0,-0.003306731
1406617000000,0,-0.0033050409
1406627000000,0,-0.0033039777
1406637000000,0,-0.0033052312
1406647000000,0,-0.0033065553
1406657000000,0,-0.003305368
1406667000000,0,-0.0033035524
1406677000000,0,-0.0033037685
1406687000000,0,-0.0033057395
1406697000000,0,-0.0033057208
1406707000000,0,-0.0033396195
1406717000000,0,-0.003302934
1406727000000,0,-0.0033039794
1406737000000,0,-0.0033054288
1406747000000,0,-0.0033044398
1406757000000,0,-0.0033025502
1406767000000,0,-0.0033025348
1406777000000,0,-0.0033044419
1406787000000,0,-0.0033047233
1406797000000,0,-0.003302709
1406807000000,0,-0.0033014921
1406817000000,0,-0.0033029308
1406827000000,0,-0.0033045559
1406837000000,0,-0.0033032147
1406847000000,0,-0.0033010755
1406857000000,0,-0.0033013203
1406867000000,0,-0.0033036115
1406877000000,0,-0.0033037301
1406887000000,0,-0.0033419553
1406897000000,0,-0.003300395
1406907000000,0,-0.0033015833
1406917000000,0,-0.0033034277
1406927000000,0,-0.0033023874
1406937000000,0,-0.0033000874
1406947000000,0,-0.0032999943
1406957000000,0,-0.0033022533
1406967000000,0,-0.0033028082
1406977000000,0,-0.0033004335
1406987000000,0,-0.0032989083
1406997000000,0,-0.0033005166
1407007000000,0,-0.0033025964
1407017000000,0,-0.0033011823
1407027000000,0,-0.0032985738
1407037000000,0,-0.0032987395
1407047000000,0,-0.0033004398
1407057000000,0,-0.0033017052
1407067000000,0,-0.0032995379
1407077000000,0,-0.0032977484
1407087000000,0.25,-0.0032990372
1407097000000,0.25,0.0037726894
1407107000000,0.25,0.013288991
1407117000000,0.25,0.0228112366
1407127000000,0.25,0.0323295877
1407137000000,0.25,0.0418450176
1407147000000,0.25,0.0513619413
1407157000000,0.25,0.0608823472
1407167000000,0.25,0.0704020745
1407177000000,0.25,0.0799183121
1407187000000,0.25,0.0894336727
1407197000000,0.25,0.0989527248
1407207000000,0.25,0.1084735049
1407217000000,0.25,0.1179913694
1407227000000,0.25,0.1275062806
1407237000000,0.25,0.1370232059
1407247000000,0.25,0.1465439493
1407257000000,0.25,0.1560636113
1407267000000,0.25,0.1655793614
1407277000000,0.25,0.1750951292
1407287000000,0.25,0.1846134645
1407297000000,0.25,0.1941340499
1407307000000,0.25,0.2036522522
1407317000000,0.25,0.2131673449
1407327000000,0.25,0.2226836848
1407337000000,0.25,0.2322038625
1407347000000,0.25,0.2417236614
1407357000000,0.25,0.2512397775
1407367000000,0.25,0.2607545997
1407377000000,0.25,0.2702731128
1407387000000,0.25,0.2797938401
1407397000000,0.25,0.2893116932
1407407000000,0.25,0.29882622
1407417000000,0.25,0.308342421
1407427000000,0.25,0.3178628275
1407437000000,0.25,0.3273824861
1407447000000,0.25,0.3368980157
1407457000000,0.25,0.3464131157
1407467000000,0.25,0.355930712
1407477000000,0.25,0.3654511558
1407487000000,0.25,0.3749693025
1407497000000,0.25,0.3844838761
1407507000000,0.25,0.3939992875
1407518000000,0.25,0.4035189777
1407527000000,0.25,0.4130387331
1407537000000,0.25,0.4225545374
1407547000000,0.25,0.4320684751
1407557000000,0.25,0.4415861057
1407567000000,0.25,0.4511066218
1407577000000,0.25,0.4606243193
1407587000000,0.25,0.4701381634
1407597000000,0.25,0.4796538142
1407607000000,0.25,0.4891725722
1407617000000,0.25,0.4986920131
1407627000000,0.25,0.5082079981
1407637000000,0.25,0.5177218124
1407647000000,0.25,0.5272385212
1407657000000,0.25,0.5367583299
1407667000000,0.25,0.5462760372
1407681000000,0.25,0.5557900167
1407694000000,0.25,0.5653044886
1407707000000,0.25,0.5748232842
1407708000000,0.25,0.5843424993
1407717000000,0.25,0.5938577678
1407727000000,0.25,0.60337086
1407740000000,0.25,0.6128874012
1407754000000,0.25,0.6224071682
1407768000000,0.25,0.631924326
1407768000000,0.25,0.6414374445
1407781000000,0.25,0.6509514163
1407787000000,0.25,0.6604702105
1407800000000,0.25,0.6699883062
1407815000000,0.25,0.6795036924
1407829000000,0.25,0.6890165941
1407830000000,0.25,0.6985321246
1407842000000,0.25,0.7080510165
1407847000000,0.25,0.7175680532
1407860000000,0.25,0.7270812141
1407874000000,0.25,0.7365944929
1407888000000,0.25,0.7461120942
1407888000000,0.25,0.7556305126
1407901000000,0.25,0.7651450254
1407907000000,0.25,0.7746570376
1407917000000,0.25,0.7841722023
1407930000000,0.25,0.7936909295
1407944000000,0.25,0.80320732
1407958000000,0.25,0.8127194909
1407959000000,0.25,0.8222320893
1407972000000,0.25,0.8317495426
1407977000000,0.25,0.8412675603
1407991000000,0.25,0.8507811345
1408005000000,0.25,0.8602921843
1408018000000,0.25,0.8698069902
1408019000000,0.25,0.879268094
1408032000000,0.25,0.8888409066
1408037000000,0.25,0.8983529354
1408048000000,0.25,0.907864547
1408062000000,0.25,0.9173806924
1408076000000,0.25,0.926898281
1408090000000,0.25,0.9364118601
1408091000000,0.25,0.9459223485
1408103000000,0.25,0.9554357211
1408107000000,0.25,0.9649533127
1408117000000,0.25,0.9744688768
1408129000000,0.25,0.9839797665
1408142000000,0.25,0.9934904937
1408155000000,0.25,1.003006358
1408169000000,0.25,1.012522391
1408170000000,0.25,1.0220359528
1408183000000,0.25,1.0315461523
1408187000000,0.25,1.0410583545
1408200000000,0.25,1.050574627
1408214000000,0.25,1.0600897057
1408228000000,0.25,1.0696004733
1408229000000,0.25,1.0791104485
1408242000000,0.25,1.0886247868
